x1,x2,d,gaussmf_y,gaussmf_e,trimf_y,trimf_e,trapmf_y,trapmf_e
-1,-1,10,9.84300326415888,0.0246479750647661,9.84300326415888,0.0246479750647661,9.84300326415888,0.0246479750647661
-1,-0.916666666666667,9.02777777777778,9.09167487343303,0.00408283883317683,9.09167487343303,0.00408283883317683,9.09167487343303,0.00408283883317683
-1,-0.833333333333333,8.11111111111111,8.34221936376413,0.0534110244443318,8.34221936376413,0.0534110244443318,8.34221936376413,0.0534110244443318
-1,-0.75,7.25,7.59629575207089,0.119920747902347,7.59629575207089,0.119920747902347,7.59629575207089,0.119920747902347
-1,-0.666666666666667,6.44444444444444,6.85581152243219,0.169222872852177,6.85581152243219,0.169222872852177,6.85581152243219,0.169222872852177
-1,-0.583333333333333,5.69444444444444,6.1233042303276,0.183920715947749,6.1233042303276,0.183920715947749,6.1233042303276,0.183920715947749
-1,-0.5,5,5.40263081441613,0.162111572717394,5.40263081441613,0.162111572717394,5.40263081441613,0.162111572717394
-1,-0.416666666666667,4.36111111111111,4.70003339675221,0.114868315704189,4.70003339675221,0.114868315704189,4.70003339675221,0.114868315704189
-1,-0.333333333333333,3.77777777777778,4.02547377401077,0.0613533065498552,4.02547377401077,0.0613533065498552,4.02547377401077,0.0613533065498552
-1,-0.25,3.25,3.39371896136835,0.0206551398567977,3.39371896136835,0.0206551398567977,3.39371896136835,0.0206551398567977
-1,-0.166666666666667,2.77777777777778,2.82408420359034,0.00214428507153394,2.82408420359034,0.00214428507153394,2.82408420359034,0.00214428507153394
-1,-0.0833333333333333,2.36111111111111,2.33753315254944,0.000555920129935995,2.33753315254944,0.000555920129935995,2.33753315254944,0.000555920129935995
-1,0,2,1.95094398538987,0.00240649256942957,1.95094398538987,0.00240649256942957,1.95094398538987,0.00240649256942957
-1,0.0833333333333333,1.69444444444444,1.67086626762679,0.000555930422044429,1.67086626762679,0.000555930422044429,1.67086626762679,0.000555930422044429
-1,0.166666666666667,1.44444444444444,1.49075046766994,0.00214424778696035,1.49075046766994,0.00214424778696035,1.49075046766994,0.00214424778696035
-1,0.25,1.25,1.39371843414232,0.0206549883123207,1.39371843414232,0.0206549883123207,1.39371843414232,0.0206549883123207
-1,0.333333333333333,1.11111111111111,1.35880652844265,0.0613530197670436,1.35880652844265,0.0613530197670436,1.35880652844265,0.0613530197670436
-1,0.416666666666667,1.02777777777778,1.36669950717941,0.11486793866059,1.36669950717941,0.11486793866059,1.36669950717941,0.11486793866059
-1,0.5,1,1.40263034843909,0.162111197484183,1.40263034843909,0.162111197484183,1.40263034843909,0.162111197484183
-1,0.583333333333333,1.02777777777778,1.45663724506412,0.183920442681124,1.45663724506412,0.183920442681124,1.45663724506412,0.183920442681124
-1,0.666666666666667,1.11111111111111,1.52247806404357,0.169222769964939,1.52247806404357,0.169222769964939,1.52247806404357,0.169222769964939
-1,0.75,1.25,1.59629585707674,0.119920820628514,1.59629585707674,0.119920820628514,1.59629585707674,0.119920820628514
-1,0.833333333333333,1.44444444444444,1.67555306099686,0.053411192644772,1.67555306099686,0.053411192644772,1.67555306099686,0.053411192644772
-1,0.916666666666667,1.69444444444444,1.7583421859727,0.00408292137241221,1.7583421859727,0.00408292137241221,1.7583421859727,0.00408292137241221
-1,1,2,1.84300421096533,0.0246476777746173,1.84300421096533,0.0246476777746173,1.84300421096533,0.0246476777746173
-0.916666666666667,-1,10.3194444444444,10.0433808955809,0.0762110830111136,10.0433808955809,0.0762110830111136,10.0433808955809,0.0762110830111136
-0.916666666666667,-0.916666666666667,9.34722222222222,9.29205250479223,0.00304369772130459,9.29205250479223,0.00304369772130459,9.29205250479223,0.00304369772130459
-0.916666666666667,-0.833333333333333,8.43055555555556,8.54259699504938,0.0125532841638494,8.54259699504938,0.0125532841638494,8.54259699504938,0.0125532841638494
-0.916666666666667,-0.75,7.56944444444444,7.79667338326874,0.0516329906392168,7.79667338326874,0.0516329906392168,7.79667338326874,0.0516329906392168
-0.916666666666667,-0.666666666666667,6.76388888888889,7.05618915352588,0.0854394447068578,7.05618915352588,0.0854394447068578,7.05618915352588,0.0854394447068578
-0.916666666666667,-0.583333333333333,6.01388888888889,6.32368186129587,0.0959716857527528,6.32368186129587,0.0959716857527528,6.32368186129587,0.0959716857527528
-0.916666666666667,-0.5,5.31944444444444,5.60300844523177,0.0804085425425161,5.60300844523177,0.0804085425425161,5.60300844523177,0.0804085425425161
-0.916666666666667,-0.416666666666667,4.68055555555556,4.90041102738087,0.0483364284915302,4.90041102738087,0.0483364284915302,4.90041102738087,0.0483364284915302
-0.916666666666667,-0.333333333333333,4.09722222222222,4.22585140441052,0.0165454665104307,4.22585140441052,0.0165454665104307,4.22585140441052,0.0165454665104307
-0.916666666666667,-0.25,3.56944444444444,3.59409659149144,0.000607728354026562,3.59409659149144,0.000607728354026562,3.59409659149144,0.000607728354026562
-0.916666666666667,-0.166666666666667,3.09722222222222,3.02446183338808,0.00529407418329559,3.02446183338808,0.00529407418329559,3.02446183338808,0.00529407418329559
-0.916666666666667,-0.0833333333333333,2.68055555555556,2.53791078198065,0.0203475314282352,2.53791078198065,0.0203475314282352,2.53791078198065,0.0203475314282352
-0.916666666666667,0,2.31944444444444,2.15132161443059,0.0282652859718663,2.15132161443059,0.0282652859718663,2.15132161443059,0.0282652859718663
-0.916666666666667,0.0833333333333333,2.01388888888889,1.87124389627706,0.0203475939172281,1.87124389627706,0.0203475939172281,1.87124389627706,0.0203475939172281
